Week,Last Updated,Player,Position,Team,Pick,Prop,Units,BO Line,BO Odds,BV Line,BV Odds,stat
2020-07,2020-10-26 10:59:40,Duke Johnson,RB,houston-texans,Under,rush_yards,0.5,65.5,-114,65.5,-114,-0.741641008216916
2020-07,2020-10-26 10:59:40,Boston Scott,RB,philadelphia-eagles,Under,rush_yards,0.5,52.5,-114,52.5,-114,-0.697948183332171
2020-07,2020-10-26 10:59:40,Giovani Bernard,RB,cincinnati-bengals,Under,rush_yards,0.5,49.5,-125,50.5,-125,-0.612794047654277
2020-07,2020-10-26 10:59:40,Jerick McKinnon,RB,san-francisco-49ers,Under,rush_yards,0.5,49.5,-114,49.5,-114,-0.451556157584142
2020-07,2020-10-26 10:59:40,Alvin Kamara,RB,new-orleans-saints,Under,receptions,2,7,-103,7,-103,-0.318632738930838
2020-07,2020-10-26 10:59:40,Kareem Hunt,RB,cleveland-browns,Under,rush_yards,0.5,85.5,-114,85.5,-114,-0.296165377075909
2020-07,2020-10-26 10:59:40,Marquez Callaway,REC,new-orleans-saints,Under,rec_yards,2,33.5,-114,33.5,-114,-0.259343446190677
2020-07,2020-10-26 10:59:40,Richard Rodgers,REC,philadelphia-eagles,Under,receptions,1.5,3,-114,3,-114,-0.233282248179118
2020-07,2020-10-26 10:59:40,Gabriel Davis,REC,buffalo-bills,Under,rec_yards,1,46.5,-114,46.5,-114,-0.217038718602991
2020-07,2020-10-26 10:59:40,JuJu Smith-Schuster,REC,pittsburgh-steelers,Under,receptions,1.5,4.5,-114,4.5,-114,-0.206237475077311
2020-07,2020-10-26 10:59:40,Kenny Golladay,REC,detroit-lions,Under,receptions,1.5,5.5,-130,5.5,-130,-0.193018046292392
2020-07,2020-10-26 10:59:40,David Johnson,RB,houston-texans,Under,rush_yards,0.5,65.5,-114,65.5,-114,-0.190932819861492
2020-07,2020-10-26 10:59:40,Chase Claypool,REC,pittsburgh-steelers,Under,receptions,1.5,4.5,-125,4.5,-125,-0.185141775343153
2020-07,2020-10-26 10:59:40,Tre'Quan Smith,REC,new-orleans-saints,Under,rec_yards,1,47.5,-103,45.5,-114,-0.164430959601151
2020-07,2020-10-26 10:59:40,Josh Allen,QB,buffalo-bills,Under,pass_yards,1,279.5,-114,279.5,-114,-0.163805038643225
2020-07,2020-10-26 10:59:40,Will Fuller,REC,houston-texans,Under,receptions,1,5.5,-149,5.5,-149,-0.163758364590732
2020-07,2020-10-26 10:59:40,Terry McLaurin,REC,washington-football-team,Under,receptions,1,6.5,-130,6.5,-130,-0.158164464510404
2020-07,2020-10-26 10:59:40,Kyler Murray,QB,arizona-cardinals,Under,pass_yards,1,269.5,-114,269.5,-114,-0.157468381750783
2020-07,2020-10-26 10:59:40,Henry Ruggs,REC,las-vegas-raiders,Under,receptions,1,3.5,-120,3.5,-120,-0.156007494245257
2020-07,2020-10-26 10:59:40,Brandin Cooks,REC,houston-texans,Under,receptions,1,4.5,120,4.5,120,-0.142454783121745
2020-07,2020-10-26 10:59:40,James Conner,RB,pittsburgh-steelers,Under,rush_yards,1,68.5,110,68.5,110,-0.13957464956019
2020-07,2020-10-26 10:59:40,Logan Thomas,REC,washington-football-team,Under,receptions,1,3,-114,3,-114,-0.128690799077352
2020-07,2020-10-26 10:59:40,Antonio Gibson,RB,washington-football-team,Under,receptions,1,3.5,-130,3.5,-130,-0.123014518192836
2020-07,2020-10-26 10:59:40,Tyler Boyd,REC,cincinnati-bengals,Under,receptions,1,5.5,-156,5.5,-156,-0.119640523737127
2020-07,2020-10-26 10:59:40,Justin Jackson,RB,los-angeles-chargers,Under,rush_yards,1,48.5,-114,48.5,-114,-0.118867067946601
2020-07,2020-10-26 10:59:40,Joshua Kelley,RB,los-angeles-chargers,Under,rush_yards,1,51.5,-114,51.5,-114,-0.113320804336696
2020-07,2020-10-26 10:59:40,Mike Davis,RB,carolina-panthers,Under,rush_yards,1,56.5,-114,56.5,-114,-0.104899786214913
2020-07,2020-10-26 10:59:40,James O'Shaughnessy,REC,jacksonville-jaguars,Under,receptions,1,2.5,100,2.5,100,-0.089265251159668
